Date;Open;Prev_Close;Chg %;
2019-02-25;26934.2;26867.55;0.25;
2019-03-05;27068.15;27043.9;0.09;
2019-03-11;27840.1;27761.8;0.28;
2019-03-18;29521.6;29381.45;0.47;
2019-03-22;29920.75;29832.2;0.3;
2019-03-25;29329.4;29582.5;0.86;
2019-04-01;30537.6;30426.8;0.36;
2019-04-08;30201.5;30084.65;0.39;
2019-04-15;29983.5;29938.55;0.15;
2019-04-22;30282.5;30223.4;0.2;
2019-04-30;29920.4;30013.5;0.31;
2019-05-06;29626.5;29954.15;1.11;
2019-05-13;29026.65;29040.5;0.05;
2019-05-20;30230.4;29450.15;2.58;
2019-05-27;31234.9;31212.55;0.07;
2019-06-03;31406.05;31375.4;0.1;
2019-06-10;31259.2;31066.55;0.62;
2019-06-17;30652.0;30614.35;0.12;
2019-06-24;30680.95;30628.35;0.17;
2019-07-01;31271.0;31105.2;0.53;
2019-07-08;31346.85;31475.8;0.41;
2019-07-15;30688.85;30601.45;0.28;
2019-07-22;29617.05;29770.35;0.52;
2019-07-29;29583.45;29325.3;0.87;
2019-08-05;27841.2;28204.95;1.31;
2019-08-13;28356.8;28431.9;0.26;
2019-08-16;27920.3;28019.2;0.35;
2019-08-19;28331.25;28217.0;0.4;
2019-08-26;27663.95;26958.65;2.55;
2019-09-03;27239.2;27427.85;0.69;
2019-09-09;27240.35;27247.9;0.03;
2019-09-11;27639.05;27504.65;0.49;
2019-09-16;27868.0;28098.75;0.83;
2019-09-23;30039.4;28981.55;3.52;
2019-09-30;29674.8;29876.65;0.68;
2019-10-07;27909.9;27731.85;0.64;
2019-10-09;27901.65;27767.55;0.48;
2019-10-14;28238.5;28042.5;0.69;
2019-10-22;29416.25;29120.25;1.01;
2019-10-27;29605.4;29395.95;0.71;
2019-10-29;29527.6;29516.3;0.04;
2019-11-04;30415.9;30330.55;0.28;
2019-11-11;30664.65;30749.4;0.28;
2019-11-13;31084.75;31115.55;0.1;
2019-11-18;31036.8;31008.4;0.09;
2019-11-25;31065.1;31111.6;0.15;
2019-12-02;32008.3;31946.1;0.19;
2019-12-09;31321.4;31341.55;0.06;
2019-12-16;32159.0;32014.25;0.45;
2019-12-23;32381.0;32384.95;0.01;
2019-12-30;32486.6;32412.35;0.23;
2020-01-06;31910.45;32069.25;0.5;
2020-01-13;32139.1;32097.4;0.13;
2020-01-20;31923.95;31590.65;1.04;
2020-01-27;31110.55;31241.75;0.42;
2020-02-03;29811.75;29820.9;0.03;
2020-02-10;31248.65;31201.95;0.15;
2020-02-17;30873.85;30834.8;0.13;
2020-02-24;30666.35;30942.85;0.9;
2020-03-02;29701.0;29147.15;1.86;
2020-03-09;27031.45;27801.45;2.85;
2020-03-11;26272.75;26462.6;0.72;
2020-03-16;24061.6;25166.45;4.59;
2020-03-23;18311.3;20317.6;10.96;
2020-03-30;19254.45;19969.0;3.71;
2020-04-03;18325.05;18208.35;0.64;
2020-04-07;18454.55;17249.3;6.53;
2020-04-13;19854.9;19913.6;0.3;
2020-04-15;20096.35;19488.0;3.03;
2020-04-20;21104.7;20681.45;2.01;
2020-04-27;19870.8;19586.65;1.43;
2020-05-04;20514.75;21534.5;4.97;
2020-05-11;19610.45;19352.9;1.31;
2020-05-18;18795.1;18833.95;0.21;
2020-05-26;17537.65;17278.9;1.48;
2020-06-01;19728.9;19297.25;2.19;
2020-06-08;21636.1;21034.5;2.78;
2020-06-15;20457.15;20654.55;0.96;
2020-06-22;21491.55;21338.1;0.71;
2020-06-29;21291.55;21592.05;1.41;
2020-07-06;22270.95;21852.4;1.88;
2020-07-13;22613.25;22398.45;0.95;
2020-07-20;22307.3;21966.8;1.53;
2020-07-27;22664.6;22662.05;0.01;
2020-08-03;21543.8;21640.05;0.45;
2020-08-10;21824.9;21754.0;0.32;
2020-08-17;21906.95;21679.4;1.04;
2020-08-24;22436.85;22299.6;0.61;
2020-08-31;25038.8;24523.8;2.06;
2020-09-07;23036.25;23011.5;0.11;
2020-09-14;22683.35;22479.95;0.9;
2020-09-21;21983.4;22031.05;0.22;
2020-09-28;21152.05;20982.35;0.8;
2020-10-05;22352.1;22246.0;0.47;
2020-10-12;23955.6;23846.8;0.45;
2020-10-19;23902.9;23533.25;1.55;
2020-10-26;24525.8;24478.3;0.19;
2020-11-02;24367.6;23900.9;1.92;
2020-11-09;27088.95;26798.95;1.07;
2020-11-17;28792.25;28594.3;0.69;
2020-11-23;29432.8;29236.0;0.67;
2020-12-01;29844.8;29609.05;0.79;
2020-12-07;30062.6;30052.4;0.03;
2020-12-14;30735.15;30604.85;0.42;
2020-12-21;30595.8;30714.65;0.39;
2020-12-28;30558.85;30402.2;0.51;
2021-01-04;31485.15;31225.85;0.82;
2021-01-11;32280.3;32084.2;0.61;
2021-01-18;32275.15;32246.8;0.09;
2021-01-25;31507.15;31167.25;1.08;
2021-01-27;31236.25;31198.4;0.12;
2021-02-01;30976.35;30565.5;1.33;
2021-02-08;36073.85;35654.5;1.16;
2021-02-15;36501.4;36108.9;1.08;
2021-02-22;35874.3;35841.6;0.09;
2021-03-01;35374.25;34803.6;1.61;
2021-03-08;35462.45;35228.15;0.66;
2021-03-12;36497.35;35938.3;1.53;
2021-03-15;35544.25;35496.65;0.13;
2021-03-22;34088.4;34161.6;0.21;
2021-03-30;33615.9;33318.2;0.89;
2021-04-05;33649.15;33858.0;0.62;
2021-04-12;31637.9;32448.05;2.56;
2021-04-19;30993.45;31977.45;3.17;
2021-04-26;32316.65;31722.3;1.84;
2021-05-03;32368.55;32781.8;1.28;
2021-05-10;33175.3;32904.5;0.82;
2021-05-14;32495.15;32452.3;0.13;
2021-05-17;32437.85;32169.55;0.83;
2021-05-24;34869.3;34606.9;0.75;
